"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","1984","1984","USD","US Dollar","6","Millions",,,-102727,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","1985","1985","USD","US Dollar","6","Millions",,,-114018,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","1986","1986","USD","US Dollar","6","Millions",,,-131869,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","1987","1987","USD","US Dollar","6","Millions",,,-144770,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","1988","1988","USD","US Dollar","6","Millions",,,-109392.75,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","1989","1989","USD","US Dollar","6","Millions",,,-86741.25,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","1990","1990","USD","US Dollar","6","Millions",,,-77854.5,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","1991","1991","USD","US Dollar","6","Millions",,,-28613.75,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","1992","1992","USD","US Dollar","6","Millions",,,-34738,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","1993","1993","USD","US Dollar","6","Millions",,,-65173.5,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","1994","1994","USD","US Dollar","6","Millions",,,-92487,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","1995","1995","USD","US Dollar","6","Millions",,,-89761.25,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","1996","1996","USD","US Dollar","6","Millions",,,-96376.5,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","1997","1997","USD","US Dollar","6","Millions",,,-101971.25,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","1998","1998","USD","US Dollar","6","Millions",,,-162710.75,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","1999","1999","USD","US Dollar","6","Millions",,,-255834.25,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","2000","2000","USD","US Dollar","6","Millions",,,-375049.75,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","2001","2001","USD","US Dollar","6","Millions",,,-367928.75,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","2002","2002","USD","US Dollar","6","Millions",,,-425402,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","2003","2003","USD","US Dollar","6","Millions",,,-503126.5,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","2004","2004","USD","US Dollar","6","Millions",,,-619075,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","2005","2005","USD","US Dollar","6","Millions",,,-721192.75,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","2006","2006","USD","US Dollar","6","Millions",,,-770924.5,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","2007","2007","USD","US Dollar","6","Millions",,,-718426.25,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","2008","2008","USD","US Dollar","6","Millions",,,-723088.25,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","2009","2009","USD","US Dollar","6","Millions",,,-396451,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","2010","2010","USD","US Dollar","6","Millions",,,-513902.75,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","2011","2011","USD","US Dollar","6","Millions",,,-579461.5,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","2012","2012","USD","US Dollar","6","Millions",,,-568571,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","2013","2013","USD","US Dollar","6","Millions",,,-490781.75,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","2014","2014","USD","US Dollar","6","Millions",,,-507658.25,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","2015","2015","USD","US Dollar","6","Millions",,,-526571,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","2016","2016","USD","US Dollar","6","Millions",,,-512511.75,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","2017","2017","USD","US Dollar","6","Millions",,,-555533.5,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","2018","2018","USD","US Dollar","6","Millions",,,-609459.5,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","A","Annual","2019","2019","USD","US Dollar","6","Millions",,,-610470.5,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1947-Q1","Q1-1947","USD","US Dollar","6","Millions",,,10875,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1947-Q2","Q2-1947","USD","US Dollar","6","Millions",,,11294,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1947-Q3","Q3-1947","USD","US Dollar","6","Millions",,,11770,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1947-Q4","Q4-1947","USD","US Dollar","6","Millions",,,9289,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1948-Q1","Q1-1948","USD","US Dollar","6","Millions",,,7293,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1948-Q2","Q2-1948","USD","US Dollar","6","Millions",,,5205,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1948-Q3","Q3-1948","USD","US Dollar","6","Millions",,,4949,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1948-Q4","Q4-1948","USD","US Dollar","6","Millions",,,4501,,
"USA","United States","B11","External balance of goods and services","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1949-Q1","Q1-1949","USD","US Dollar","6","Millions",,,6478,,
